abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
부소매옷	부/NNB + 소매/NNG + 옷/NNG
부속실장	부속/NNG + 실장/NNG
불병좌상	불병좌상/NNG
비트머쉰	비트/NNB + 머쉰/NNG
비트짜리	비트/NNB + 짜리/XSN
빙하시대	빙하/NNG + 시대/NNG
사업연도	사업/NNG + 연도/NNG
사회정의	사회/NNG + 정의/NNG
살어린이	살/NNB + 어린이/NNG
서른여섯	서른여섯/NR
선개헌안	선/NNG + 개헌안/NNG
성실주의	성실/NNG + 주의/NNG
세기동안	세기/NNG + 동안/NNG
세기말경	세기말/NNG + 경/XSN
세기말엽	세기/NNG + 말엽/NNG
세기말쯤	세기말/NNG + 쯤/XSN
세기북스	세기/NNG + 북스/NNG
세기이래	세기/NNG + 이래/NNB
세기이후	세기/NNG + 이후/NNG
세기초엽	세기/NNG + 초엽/NNG
세기폭스	세기/NNG + 폭스/NNG
세기화랑	세기/NNG + 화랑/NNG
세대위성	세대/NNG + 위성/NNG
세부항목	세부/NNG + 항목/NNG
세종오픈	세종/NNP + 오픈/NNG
센트짜리	센트/NNB + 짜리/XSN
센티미터	센티미터/NNB
소로첨차	소로/NNG + 첨차/NNG
스물일곱	스물일곱/NR
스타디온	스타디온/NNG
개비짜리	개비/NNG + 짜리/XSN
개사업장	개/NNB + 사업장/NNG
시간가량	시간가량/NNG
시간동안	시간/NNB + 동안/NNG
시간만인	시간/NNB + 만인/NNG
시간여만	시간/NNB + 여/XSN + 만/NNB
시간여전	시간/NNB + 여/XSN + 전/NNG
시간이내	시간/NNB + 이내/NNG
시간정도	시간/NNB + 정도/NNG
시간정도	시간/NNG + 정도/NNG
시간짜리	시간/NNB + 짜리/XSN
시간짜리	시간/NNG + 짜리/XSN
식량수급	식량/NNG + 수급/NNG
심구형량	심/NNG + 구형량/NNG
십구호실	십구/NR + 호실/NNG
쎈트짜리	쎈트/NNB + 짜리/XSN
쎈티미터	쎈티미터/NNB
씩하나씩	씩/XSN + 하나/NR + 씩/XSN
아나운서	아나운서/NNG
아시안컵	아시안/NNG + 컵/NNG
아홉번째	아홉/NR + 번/NNB + 째/XSN
애틀랜타	애틀랜타/NNP
야드짜리	야드/NNG + 짜리/XSN
어시스트	어시스트/NNG
공화국때	공화국/NNG + 때/NNG
공화국말	공화국/NNG + 말/NNB
공화국하	공화국하/NNG
