abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
금융권	금융/NNG + 권/XSN
명수배	명/NNB + 수배/NNG
간짜리	간/NNG + 짜리/XSN
급시험	급/NNG + 시험/NNG
급이상	급/NNG + 이상/NNG
명실종	명/NNB + 실종/NNG
대영장	대/NNB + 영장/NNG
개지구	개/NNB + 지구/NNG
개地區	개/NNB + 地區/SH
대원칙	대원칙/NNG
기계화	기계/NNG + 화/XSN
명안팎	명/NNB + 안팎/NNG
대의원	대의원/NNG
개지대	개/NNB + 지대/NNG
기교육	기/NNG + 교육/NNG
기동대	기동대/NNG
개지역	개/NNB + 지역/NNG
代議員	代議員/SH
개질병	개/NNB + 질병/NNG
개짜리	개/NNB + 짜리/XSN
기의장	기/NNG + 의장/NNG
기체제	기/NNG + 체제/NNG
명이상	명/NNB + 이상/NNG
개찰구	개찰구/NNG
순위자	순위자/NNG
대의혹	대/NNG + 의혹/NNG
대二代	대/NNB + 二代/SH
김시대	김/NNP + 시대/NNG
대이상	대/NNB + 이상/NNG
대장손	대/NNB + 장손/NNG
개체씩	개체/NNG + 씩/XSN
대재벌	대/XPN + 재벌/NNG
김정치	김/NNP + 정치/NNG
김청산	김/NNP + 청산/NNG
김체제	김/NNP + 체제/NNG
대제자	대/NNB + 제자/NNG
꼬챙이	꼬챙이/NNG
꿈나무	꿈/NNG + 나무/NNG
조달러	조/NR + 달러/NNB
조어치	조/NR + 어치/NNG
조원대	조/NR + 원/NNB + 대/XSN
조원선	조/NR + 원/NNB + 선/NNG
조원씩	조/NR + 원/NNB + 씩/XSN
명정도	명/NNB + 정도/NNG
조정관	조정관/NNG
곡병풍	곡/NNG + 병풍/NNG
조투입	조/NR + 투입/NNG
족협화	족/NNG + 협화/NNG
종경기	종/NNG + 경기/NNG
종면허	종/NNG + 면허/NNG
종정도	종/NNG + 정도/NNG
종진단	종/NNG + 진단/NNG
종채권	종/NNG + 채권/NNG
년농사	년/NNB + 농사/NNG
주가량	주/NNB + 가량/NNG
만가구	만/NR + 가구/NNG
주년쯤	주년/NNB + 쯤/XSN
주동안	주/NNB + 동안/NNG
주비전	주비전/NNG
주야여	주야/NNG + 여/XSN
주연속	주/NNB + 연속/NNG
주일간	주일/NNB + 간/NNG
주일경	주일/NNB + 경/XSN
주일만	주일/NNB + 만/NNB
주일새	주일/NNB + 새/NNG
주일씩	주일/NNB + 씩/XSN
주일여	주일/NNB + 여/XSN
주일전	주일/NNB + 전/NNG
주일째	주일/NNB + 째/XSN
주일쯤	주일/NNB + 쯤/XSN
주일후	주일/NNB + 후/NNG
주택자	주택자/NNG
주훈련	주/NNB + 훈련/NNG
중거주	중/NNG + 거주/NNG
중구조	중/NNG + 구조/NNG
중국적	중국적/NNG
중기단	중/NNG + 기단/NNG
중대장	중대장/NNG
중밑창	중/NNG + 밑창/NNG
중전회	중전회/NNG
中全會	中全會/SH
중주단	중주단/NNG
중청구	중/NNG + 청구/NNG
중학교	중학교/NNG
중화산	중/NNG + 화산/NNG
진장치	진/NNG + 장치/NNG
집단씩	집단/NNG + 씩/XSN
집반승	집/NNG + 반/NNG + 승/NNG
집음반	집/NNB + 음반/NNG
짝창호	짝/NNG + 창호/NNG
쪽짜리	쪽/NNG + 짜리/XSN
차계획	차/NNB + 계획/NNG
차고객	차/NNB + 고객/NNG
차공사	차/NNB + 공사/NNG
차공천	차/NNB + 공천/NNG
차공판	차/NNB + 공판/NNG
차관보	차관보/NNG
차교섭	차/NNB + 교섭/NNG
차기소	차/NNB + 기소/NNG
차년도	차/NNB + 년도/NNB
차대전	차/NNB + 대전/NNG
차대회	차/NNB + 대회/NNG
차례씩	차례/NNG + 씩/XSN
차리그	차/NNB + 리그/NNG
차명단	차/NNB + 명단/NNG
차모임	차/NNB + 모임/NNG
차물량	차/NNB + 물량/NNG
차방어	차/NNB + 방어/NNG
명확정	명/NNB + 확정/NNG
차범행	차/NNB + 범행/NNG
차병원	차/NNB + 병원/NNG
차부도	차/NNB + 부도/NNG
차산업	차/NNB + 산업/NNG
차산품	차/NNB + 산품/NNG
차상품	차/NNB + 상품/NNG
차선씩	차선/NNG + 씩/XSN
차성징	차/NNB + 성징/NNG
뇌신경	뇌신경/NNG
차수사	차/NNB + 수사/NNG
차시험	차/NNB + 시험/NNG
차신경	차/NNB + 신경/NNG
차업체	차/NNB + 업체/NNG
차예심	차/NNB + 예심/NNG
차원적	차원/NNG + 적/XSN
차자료	차/NNB + 자료/NNG
차장보	차장보/NNG
차장직	차장/NNG + 직/NNG
차조사	차/NNB + 조사/NNG
당통합	당/NNG + 통합/NNG
强정책	强/SH + 정책/NNG
次集團	次集團/SH
차침공	차/NNB + 침공/NNG
차투표	차/NNB + 투표/NNG
차협상	차/NNB + 협상/NNG
차협의	차/NNB + 협의/NNG
차회담	차/NNB + 회담/NNG
차회의	차/NNB + 회의/NNG
차후보	차/NNB + 후보/NNG
척장신	척/NNB + 장신/NNG
리가량	리/NNB + 가량/NNG
대조모	대/NNB + 조모/NNG
대조묘	대조/NNG + 묘/NNG
나노m	나노/NNG + m/SL
대존속	대/NNB + 존속/NNG
대종단	대/NNG + 종단/NNG
대주부	대/NNB + 주부/NNG
대주주	대주주/NNG
대진미	대/XPN + 진미/NNG
대진사	대/NNB + 진사/NNG
대착복	대/XSN + 착복/NNG
나절씩	나절/NNB + 씩/XSN
대천왕	대/XPN + 천왕/NNG
개품목	개/NNB + 품목/NNG
곡짜리	곡/NNG + 짜리/XSN
당합당	당/NNG + 합당/NNG
공연탄	공연탄/NNG
다래끼	다래끼/NNG
강진출	강/NNG + 진출/NNG
개국뿐	개국/NNB + 뿐/NNB
대총선	대/NNB + 총선/NNG
나한전	나한전/NNG
개국어	개/NNB + 국어/NNG
대취학	대/NNG + 취학자/NNG +
나흘날	나흘/NNG + 날/NNG
대학자	대/NNB + 학자/NNG
나흘째	나흘/NNG + 째/XSN
대회장	대/NNB + 회장/NNG
댓살쯤	댓/NR + 살/NNB + 쯤/XSN
개국중	개국/NNB + 중/NNB
데시벨	데시벨/NNB
날개깃	날개깃/NNG
强體制	强體制/SH
공열차	공/NNG + 열차/NNG
강축하	강/NNG + 축하/NNG
무1패	무/NNG + 1/SN + 패/NNG
강탈락	강/NNG + 탈락/NNG
리짜리	리/NNB + 짜리/XSN
남1녀	남/NNG + 1/SN + 녀/NNG
남2녀	남/NNG + 2/SN + 녀/NNG
도백하	도/NNG + 백하/NNP
男2女	男/SH + 2/SN + 女/SH
도三道	도/NNG + 三道/SH
도선상	도/NNB + 선상/NNG
남3녀	남/NNG + 3/SN + 녀/NNG
남4녀	남/NNG + 4/SN + 녀/NNG
남5녀	남/NNG + 5/SN + 녀/NNG
도의군	도의군/NNG
골프장	골프장/NNG
남대로	남/NNG + 대로/NNG
도짜리	도/NNB + 짜리/XSN
無축구	無/SH + 축구/NNG
도호부	도호부/NNG
내무실	내무실/NNG
경비단	경비단/NNG
돈짜리	돈/NNB + 짜리/XSN
문포획	문/NNB + 포획/NNG
경비정	경비정/NNG
공장장	공장장/NNG
단계설	단계설/NNG
문학사	문학/NNG + 사/NNG
년대경	년대/NNB + 경/XSN
냥짜리	냥/NNB + 짜리/XSN
단계씩	단계/NNG + 씩/XSN
돌공연	돌/NNB + 공연/NNG
단구성	단/NNB + 구성/NNG
돌기념	돌/NNB + 기념/NNG
돌행사	돌/NNB + 행사/NNG
네마리	네/XSN + 마리/NNB
단논법	단/NNG + 논법/NNG
문항씩	문항/NNG + 씩/XSN
문화층	문화/NNG + 층/XSN
공정권	공/NNG + 정권/NNG
개기업	개/NNB + 기업/NNG
년대관	년/NNB + 대관/NNG
개년간	개년/NNB + 간/NNG
단보당	단보/NNB + 당/XSN
가마분	가마/NNG + 분/NNG
미터대	미터/NNB + 대/NNG
미터씩	미터/NNB + 씩/XSN
만개소	만/NR + 개소/NNB
미터쯤	미터/NNB + 쯤/XSN
두서넛	두서넛/NR
共권력	共/SH + 권력/NNG
가지말	가지/NNB + 말/NNB
공단절	공/NNG + 단절/NNG
개호기	개/NNB + 호/NNB + 기/NNB
마일간	마일/NNB + 간/NNB
공당시	공/NNG + 당시/NNG
단위당	단위/NNG + 당/XSN
등공신	등/NNB + 공신/NNG
가마당	가마/NNG + 당/XSN
단지내	단지/NNG + 내/NNB
바라밀	바라밀/NNG
등급제	등급/NNG + 제/XSN
단짜리	단/NNB + 짜리/XSN
거래일	거래일/NNG
가구꼴	가구/NNG + 꼴/XSN
바이알	바이알/NNG
등분할	등/NNB + 분할/NNG
천가구	천/NR + 가구/NNG
천개소	천/NR + 개소/NNB
천그루	천/NR + 그루/NNB
천년간	천년간/NNG
천년경	천/NR + 년/NNB + 경/XSN
천년대	천/NR + 년/NNB + 대/XSN
천년전	천/NR + 년/NNB + 전/NNG
千年前	千年前/SH
천달러	천/NR + 달러/NNB
단체장	단체장/NNG
천돈쭝	천/NR + 돈쭝/NNB
천루블	천/NR + 루블/NNG
천리엘	천/NR + 리엘/NNB
단층화	단/NNB + 층/NNG + 화/XSN
천마일	천/NR + 마일/NNB
천만개	천만/NR + 개/NNB
천만년	천만/NR + 년/NNB
천만단	천만/NR + 단/NNG
천만대	천만대/NNG
천만동	천만/NR + 동/NNB
천만명	천만/NR + 명/NNB
천만부	천만/NR + 부/NNB
천만분	천만/NR + 분/NNG
천만불	천만/NR + 불/NNB
천만엔	천만/NR + 엔/NNB
만그루	만/NR + 그루/NNB
천만여	천만/NR + 여/XSN
년대말	년대/NNB + 말/NNB
등선실	등/NNB + 선실/NNG
마이크	마이크/NNG
천만원	천만/NR + 원/NNB
막짜리	막/NNB + 짜리/XSN
백91	백/NR + 91/SN
천만인	천만/NR + 인/NNG
천만t	천만/NR + t/SL
천명선	천/NR + 명/NNB + 선/NNG
천명씩	천/NR + 명/NNB + 씩/XSN
년대생	년대/NNB + 생/XSN
천명쯤	천/NR + 명/NNB + 쯤/NNG
천미터	천/NR + 미터/NNB
천박스	천/NR + 박스/NNG
천세대	천/NR + 세대/NNG
천송이	천/NR + 송이/NNG
박2일	박/NNB + 2/SN + 일/NNB
천시간	천/NR + 시간/NNG
가구씩	가구/NNG + 씩/XSN
천억대	천억/NR + 대/XSN
천억만	천/NR + 억만/NR
천억설	천억/NR + 설/NNG
천억여	천억/NR + 여/XSN
만년전	만/NR + 년/NNB + 전/NNG
천억원	천억/NR + 원/NNB
박3일	박/NNB + 3/SN + 일/NNB
년대선	년/NNB + 대선/NNG
달여간	달/NNB + 여/XSN + 간/NNG
천엔씩	천/NR + 엔/NNB + 씩/XSN
각구조	각/NNG + 구조/NNG
천여개	천/NR + 여/XSN + 개/NNB
천여건	천/NR + 여/XSN + 건/NNB
천여곳	천/NR + 여/XSN + 곳/NNG
천여권	천/NR + 여/XSN + 권/NNB
년대식	년대/NNB + 식/NNB
천여년	천/NR + 여/XSN + 년/NNB
천여대	천/NR + 여/XSN + 대/NNB
박4일	박/NNB + 4/SN + 일/NNB
천여만	천/NR + 여/XSN + 만/NR
천여명	천/NR + 여/XSN + 명/NNB
만달러	만/NR + 달러/NNB
천여병	천/NR + 여/XSN + 병/NNG
천여억	천/NR + 여/XSN + 억/NR
박5일	박/NNB + 5/SN + 일/NNB
천여원	천/NR + 여/XSN + 원/NNB
천여장	천/NR + 여/XSN + 장/NNB
천여점	천/NR + 여/XSN + 점/NNB
천여종	천/NR + 여/XSN + 종/NNG
천여주	천/NR + 여/XSN + 주/NNG
천여채	천/NR + 여/XSN + 채/NNB
천여척	천/NR + 여/XSN + 척/NNB
천여통	천/NR + 여/XSN + 통/NNB
천여평	천/NR + 여/XSN + 평/NNB
마일당	마일/NNB + 당/XSN
공정부	공/NNG + 정부/NNG
천여t	천/NR + 여/XSN + t/SL
천원권	천원권/NNG
천원꼴	천/NR + 원/NNB + 꼴/XSN
천원대	천/NR + 원/NNB + 대/XSN
천원선	천/NR + 원/NNB + 선/NNG
천원씩	천/NR + 원/NNB + 씩/XSN
천위안	천/NR + 위안/NNB
천촉광	천/NR + 촉광/NNG
천축국	천축국/NNG
천킬로	천/NR + 킬로/NNB
천피트	천/NR + 피트/NNB
천Bq	천/NR + Bq/SL
천cc	천/NR + cc/SL
천kg	천/NR + kg/SL
천km	천/NR + km/SL
千km	千/SH + km/SL
천t급	천/NR + t/SL + 급/NNG
박6일	박/NNB + 6/SN + 일/NNB
첩반상	첩/NNB + 반상/NNG
체육관	체육관/NNG
야전군	야전군/NNG
기병대	기병대/NNG
중대내	중대/NNG + 내/NNB
체제안	체제/NNG + 안/NNG
초동안	초/NNB + 동안/NNG
마일씩	마일/NNG + 씩/XSN
초짜리	초/NNB + 짜리/XSN
촉짜리	촉/NNB + 짜리/XSN
촌당숙	촌/NNG + 당숙/NNG
촌이내	촌/NNB + 이내/NNG
층공간	층/NNG + 공간/NNG
층구조	층/NNG + 구조/NNG
층기단	층/NNG + 기단/NNG
층당사	층/NNG + 당사/NNG
층만층	층/NNG + 만/NR + 층/NNG
층모델	층/NNG + 모델/NNG
층목탑	층/NNG + 목탑/NNG
층바닥	층/NNG + 바닥/NNG
층바닥	층/XSN + 바닥/NNG
층서재	층/NNG + 서재/NNG
층석탑	층/NNG + 석탑/NNG
층장롱	층/NNG + 장롱/NNG
층전탑	층/NNG + 전탑/NNG
층짜리	층/NNG + 짜리/XSN
층탑신	층/NNG + 탑신/NNG
칙연산	칙/NNG + 연산/NNG
백가구	백/NR + 가구/NNG
칸짜리	칸/NNG + 짜리/XSN
캐러츠	캐러츠/NNG
캐럿대	캐럿/NNG + 대/XSN
커트씩	커트/NNG + 씩/XSN
개회사	개/NNB + 회사/NNG
컴퓨터	컴퓨터/NNG
컷짜리	컷/NNG + 짜리/XSN
켤레씩	켤레/NNB + 씩/XSN
쿠데타	쿠데타/NNG
백가지	백/NR + 가지/NNB
백개씩	백/NR + 개/NNB + 씩/XSN
등성쯤	등/NNB + 성/NNG + 쯤/NNG
공비리	공/NNG + 비리/NNG
마디씩	마디/NNG + 씩/XSN
개년치	개년/NNB + 치/XSN
킬로씩	킬로/NNB + 씩/XSN
킬로쯤	킬로/NNB + 쯤/XSN
타석째	타석/NNG + 째/XSN
타수째	타수/NNG + 째/XSN
탈삼진	탈삼진/NNG
백권씩	백/NR + 권/NNB + 씩/XSN
태양년	태양년/NNG
태음월	태음월/NNG
백그루	백/NR + 그루/NNG
톤짜리	톤/NNB + 짜리/XSN
통협정	통/NNG + 협정/NNG
통화당	통화/NNG + 당/XSN
투표구	투표구/NNG
투표권	투표/NNG + 권/XSN
투표소	투표소/NNG
특별부	특별/NNG + 부/NNG
파운드	파운드/NNB
개단지	개/NNB + 단지/NNG
파출소	파출소/NNG
팔백원	팔백/NR + 원/NNB
팔참회	팔/NR + 참회/NNG
퍼센트	퍼센트/NNB
퍼센트	퍼센트/NNG
백년간	백/NR + 년/NNB + 간/NNG
박8일	박/NNB + 8/SN + 일/NNB
백년사	백년사/NNG
百年前	百年前/SH
페이지	페이지/NNG
백년쯤	백/NR + 년/NNB + 쯤/XSN
개대대	개/NNB + 대대/NNG
평가량	평/NNB + 가량/NNG
백달러	백/NR + 달러/NNB
달러당	달러/NNB + 당/XSN
평방m	평방/NNG + m/SL
평이상	평/NNB + 이상/NNG
평짜리	평/NNB + 짜리/XSN
평크기	평/NNB + 크기/NNG
평형대	평/NNB + 형/XSN + 대/XSN
평형B	평/NNB + 형/XSN + B/SL
평형C	평/NNB + 형/XSN + C/SL
포기당	포기/NNG + 당/XSN
포인트	포인트/NNG
폭병풍	폭/NNG + 병풍/NNG
폭짜리	폭/NNG + 짜리/XSN
품종명	품종명/NNG
프랑씩	프랑/NNB + 씩/XSN
프레임	프레임/NNG
박9일	박/NNB + 9/SN + 일/NNB
백대당	백/NR + 대/NNB + 당/XSN
피고인	피고인/NNG
백마리	백/NR + 마리/NNB
박계통	박/NNG + 계통/NNG
학급씩	학급/NNG + 씩/XSN
백마일	백/NR + 마일/NNB
학기때	학기/NNG + 때/NNG
학기말	학기/NNG + 말/NNB
학기제	학기/NNG + 제/XSN
학기중	학기/NNG + 중/NNB
학기째	학기/NNG + 째/XSN
학기초	학기/NNG + 초/NNB
학년도	학년/NNG + 도/NNB
학년때	학년/NNG + 때/NNG
학년말	학년/NNG + 말/NNB
학년생	학년/NNG + 생/XSN
학년용	학년/NNG + 용/XSN
박사일	박/NNB + 사/NR + 일/NNB
백만개	백만/NR + 개/NNB
학년제	학년/NNG + 제/XSN
학년짜	학년/NNG + 짜리/XSN +
박삼일	박/NNB + 삼/NR + 일/NNB
학년쯤	학년/NNG + 쯤/XSN
학년초	학년/NNG + 초/NNB
학점분	학점/NNG + 분/XSN
백만건	백만/NR + 건/NNB
백만년	백만/NR + 년/NNB
한강교	한강교/NNG
등자리	등/NNB + 자리/NNG
백만단	백만/NR + 단/NNG
가지약	가지/NNB + 약/NNG
할가량	할/NNB + 가량/NNG
할정도	할/NNB + 정도/NNG
박오일	박/NNB + 오/NR + 일/NNB
백만대	백만/NR + 대/NNB
백만매	백만/NR + 매/NNB
항공대	항공대/NNP
항술어	항/NNG + 술어/NNG
항아리	항아리/NNG
행정관	행정관/NNG
행정리	행정리/NNG
헤르츠	헤르츠/NNB
마르크	마르크/NNG
협력관	협력관/NNG
형님댁	형/NNG + 님/XSN + 댁/NNG
형사부	형사부/NNG
백만명	백만/NR + 명/NNB
호궁전	호/NNB + 궁전/NNG
호문지	호/NNB + 문지/NNG
호법정	호/NNB + 법정/NNG
호선역	호/NNB + 선/NNG + 역/NNG
호선중	호/NNB + 선/NNG + 중/NNB
호열차	호/NNB + 열차/NNG
호위성	호/NNB + 위성/NNG
호정문	호/NNB + 정문/NNG
백만분	백만/NR + 분/NNG
호집터	호/NNB + 집터/NNG
호짜리	호/NNB + 짜리/XSN
홀짜리	홀/NNG + 짜리/XSN
홉들이	홉/NNB + 들이/XSN
환짜리	환/NNB + 짜리/XSN
회가량	회/NNB + 가량/NNG
백만불	백만/NR + 불/NNB
회대회	회/NNB + 대회/NNG
백만石	백만/NR + 石/SH
회연장	회/NNB + 연장/NNG
회용품	회/NNB + 용품/NNG
회우승	회/NNB + 우승/NNG
훈련소	훈련소/NNG
층석탑	층/NNG + 석탑/NNG
B정책	B/SL + 정책/NNG
마리뿐	마리/NNB + 뿐/NNB
bps	bps/SL
C중반	C/SL + 중반/NNG
cc급	cc/SL + 급/NNG
cc당	cc/SL + 당/XSN
白萬石	白萬石/SH
百萬石	百萬石/SH
cc차	c/SL + c/SL + 차/NNG
cfu	cfu/SL
백만섬	백만/NR + 섬/NNB
백만엔	백만/NR + 엔/NNB
cm당	cm/SL + 당/XSN
cm씩	cm/SL + 씩/XSN
백만여	백만/NR + 여/XSN
박이일	박/NNB + 이/NR + 일/NNB
cm쯤	cm/SL + 쯤/XSN
cup	cup/SL
D부문	D/SL + 부문/NNG
D산업	D/SL + 산업/NNG
D업종	D/SL + 업종/NNG
마리씩	마리/NNB + 씩/XSN
D영화	D/SL + 영화/NNG
D직종	D/SL + 직종/NNG
백만원	백만/NR + 원/NNB
DX급	DX/SL + 급/NNG
g짜리	g/SL + 짜리/XSN
H클럽	H/SL + 클럽/NNG
ha중	ha/SL + 중/NNB
K이상	K/SL + 이상/NNG
반세기	반세기/NNG
초짜리	초/NNB + 짜리/XSN
년대적	년대/NNB + 적/XSN
Kev	Kev/SL
kg급	kg/SL + 급/NNG
kG급	kG/SL + 급/NNG
kg씩	kg/SL + 씩/XSN
경주당	경주/NNG + 당/XSN
kg쯤	kg/SL + 쯤/XSN
KGy	KGy/SL
KHz	KHz/SL
KHZ	KHZ/SL
kHz	kHz/SL
KHz	KHz/SL
km2	km/SL + 2/SN
만대군	만/NR + 대군/NNG
km내	km/SL + 내/NNB
km당	km/SL + 당/XSN
km대	km/SL + 대/XSN
km씩	km/SL + 씩/XSN
백만인	백만/NR + 인/NNG
백만장	백만/NR + 장/NNB
백만질	백만/NR + 질/NNB
km쯤	km/SL + 쯤/XSN
l짜리	l/SL + 짜리/XSN
백만톤	백만/NR + 톤/NNB
백만평	백만/NR + 평/NNB
백만호	백만/NR + 호/NNB
m가량	m/SL + 가량/NNG
m길이	m/SL + 길이/NNG
백만t	백만/NR + t/SL
m높이	m/SL + 높이/NNG
m범위	m/SL + 범위/NNG
m아래	m/SL + 아래/NNG
m어간	m/SL + 어간/NNG
m정도	m/SL + 정도/NNG
M정도	M/SL + 정도/NNG
M제품	M/SL + 제품/NNG
m지점	m/SL + 지점/NNG
m짜리	m/SL + 짜리/XSN
mg씩	mg/SL + 씩/XSN
MHz	MHz/SL
Mhz	Mhz/SL
발가락	발가락/NNG
백명분	백/NR + 명/NNB + 분/XSN
백명씩	백/NR + 명/NNB + 씩/XSN
mm포	mm/SL + 포/NNG
백명중	백/NR + 명/NNB + 중/NNB
one	one/SL
ppb	ppb/SL
ppm	ppm/SL
PPM	PPM/SL
R14	R/SL + 14/SN
rad	rad/SL
백명쯤	백/NR + 명/NNB + 쯤/XSN
백미터	백/NR + 미터/NNB
t짜리	t/SL + 짜리/XSN
t트럭	t/SL + 트럭/NNG
마리아	마리아/NNP
v짜리	v/SL + 짜리/XSN
W투어	W/SL + 투어/NNG
달러대	달러/NNB + 대/XSN
만4	만/NR + 4/SN
달쯤	달/NNB + 쯤/XSN
매쉬	매쉬/NNG
매씩	매/NNB + 씩/XSN
루측	루/NNG + 측/NNB
분간	분/NNB + 간/NNB
년쯤	년/NNB + 쯤/XSN
분간	분/NNB + 간/NNG
계급	계급/NNG
년차	년/NNB + 차/NNB
매체	매체/NNG
백g	백/NR + g/SL
란성	란/NNG + 성/XSN
맥박	맥박/NNG
개국	개국/NNB
계단	계단/NNG
머쉰	머쉰/NNG
個國	個國/SH
계명	계명/NNG
먹이	먹이/NNG
메가	메가/NNB
방향	방향/NNG
달만	달/NNB + 만/NNB
분경	분/NNB + 경/XSN
건씩	건/NNB + 씩/XSN
거리	거리/NNB
년명	년/NNB + 명/NNB
分頃	分頃/SH
마흔	마흔/NR
닷새	닷새/NNG
年銘	年銘/SH
분과	분과/NNG
마일	마일/NNG
분기	분기/NNG
메끼	메끼/NNG
년초	년/NNB + 초/NNB
년물	년/NNB + 물/NNG
년경	년/NNB + 경/XSN
당제	당/NNG + 제/XSN
루타	루/NNG + 타/NNG
년반	년/NNB + 반/NNG
백億	백/NR + 億/SH
개도	개/NNB + 도/NNG
계약	계약/NNG
경기	경기/NNG
분께	분/NNB + 께/XSN
분내	분/NNB + 내/NNB
년법	년/NNB + 법/NNG
년복	년/NNB + 복/NNG
분단	분단/NNG
월경	월/NNB + 경/XSN
분당	분/NNB + 당/XSN
백m	백/NNG + m/SL
분뒤	분/NNB + 뒤/NNG
월기	월/NNB + 기/NNG
월께	월/NNB + 께/XSN
년봄	년/NNB + 봄/NNG
월달	월/NNB + 달/NNG
년분	년/NNB + 분/XSN
월드	월드/NNG
계장	계장/NNG
월란	월/NNB + 란/NNG
월령	월령/NNG
월말	월/NNB + 말/NNB
분류	분류/NNG
분만	분/NNB + 만/NNB
년뿐	년/NNB + 뿐/NNB
분박	분/NNG + 박/NNG
월물	월/NNB + 물/NNB
대분	대/NNB + 분/XSN
루피	루피/NNB
월분	월/NNB + 분/XSN
분발	분/NNB + 발/NNG
년사	년사/NNG
월생	월/NNB + 생/XSN
월씩	월/NNB + 씩/XSN
백m	백/NR + m/SL
분법	분/XSN + 법/NNG
방리	방리/NNG
백발	백/NR + 발/NNB
번대	번/NNB + 대/NNG
분씩	분/NNB + 씩/XSN
년산	년/NNB + 산/XSN
년상	년/NNB + 상/NNG
월장	월/NNB + 장/NNG
년初	년/NNB + 初/SH
월제	월/NNB + 제/XSN
월조	월/NNB + 조/NNB
月조	月/SH + 조/NNG
월중	월/NNB + 중/NNB
月中	月中/SH
룩스	룩스/NNB
월쯤	월/NNB + 쯤/NNG
월쯤	월/NNB + 쯤/XSN
월초	월/NNB + 초/NNB
月初	月初/SH
분야	분야/NNG
분여	분/NNB + 여/XSN
강때	강/NNG + 때/NNG
월치	월/NNB + 치/XSN
월토	월토/NNG
년새	년/NNB + 새/NNG
백번	백/NR + 번/NNB
계절	계절/NNG
개과	개과/NNG
공수	공수/NNG
월호	월/NNB + 호/NNB
위국	위/NNB + 국/NNG
위권	위/NNB + 권/XSN
백벌	백/NR + 벌/NNB
년도	년도/NNB
위묘	위/NNB + 묘/NNG
위산	위산/NNP
시간	시간/NNB
위안	위/NNB + 안/NNG
위안	위안/NNB
시간	시간/NNG
위임	위임/NNG
분자	분자/NNG
개비	개비/NNG
위전	위/NNB + 전/NNG
분전	분/NNB + 전/NNG
배속	배속/NNG
위팀	위/NNB + 팀/NNG
위표	위/NNB + 표/NNG
유로	유로/NNB
음계	음계/NNG
음보	음보/NNG
공초	공/NNG + 초/NNB
개뿐	개/NNB + 뿐/NNB
음절	음절/NNG
개사	개/NNB + 사/NNG
당척	당척/NNG
의사	의사/NNG
분지	분지/NNG
이닝	이닝/NNG
이동	이동/NNG
이모	이모/NNG
만동	만/NR + 동/NNB
이백	이백/NNG
이상	이상/NNG
분쯤	분/NNB + 쯤/XSN
이틀	이틀/NNG
년식	년/NNB + 식/NNB
면내	면/NNG + 내/NNB
이후	이후/NNG
륜차	륜/NNG + 차/NNG
년급	년/NNB + 급/NNG
개관	개/NNB + 관/NNG
분파	분파/NNG
年度	年度/SH
분할	분할/NNG
분화	분화/NNG
개社	개/NNB + 社/SH
방면	방면/NNG
인간	인간/NNG
인극	인/NNG + 극/NNG
인당	인/NNG + 당/XSN
人當	人當/SH
계좌	계좌/NNG
개교	개/NNB + 교/NNG
인무	인/NNG + 무/NNG
면대	면/NNG + 대/NNB
인방	인/NNG + 방/NNG
인분	인/NNG + 분/XSN
만원	만/NR + 원/NNB
인승	인/NNG + 승/NNG
백t	백/NR + t/SL
인실	인/NNG + 실/NNG
인씩	인/NNG + 씩/XSN
인역	인/NNG + 역/NNG
인용	인/NNG + 용/XSN
人委	人委/SH
불씩	불/NNB + 씩/XSN
면모	면모/NNG
군현	군현/NNG
백부	백/NR + 부/NNB
불통	불통/NNG
인자	인자/NNG
인전	인전/NNG
인조	인/NNG + 조/NNG
블록	블록/NNG
면씩	면/NNG + 씩/XSN
인치	인치/NNB
백V	백/NR + V/SL
년기	년/NNB + 기/NNG
밸브	밸브/NNG
인칭	인칭/NNG
면체	면/NNG + 체/NNG
비트	비트/NNB
번가	번/NNB + 가/NNG
만등	만/NR + 등/NNB
일간	일/NNB + 간/NNB
당간	당/NNG + 간/NNB
일경	일/NNB + 경/XSN
번기	번/NNB + 기/NNG
면체	면체/NNG
강행	강/NNG + 행/NNG
일께	일/NNB + 께/XSN
일날	일/NNB + 날/NNG
일내	일/NNB + 내/NNB
일당	일/NNB + 당/XSN
일대	일대/NNG
빌딩	빌딩/NNG
일란	일/NNB + 란/NNG
일만	일/NNB + 만/NNB
一萬	一萬/SH
등칸	등/NNB + 칸/NNG
일물	일/NNB + 물/NNG
뿌리	뿌리/NNG
일밤	일/NNB + 밤/NNG
일부	일부/NNG
일분	일/NNB + 분/XSN
일분	일분/NNG
일상	일/NNB + 상/NNG
일생	일/NNB + 생/XSN
일시	일/NNB + 시/NNG
일씩	일/NNB + 씩/XSN
량가	량/NNB + 가/XSN
일용	일/NNB + 용/XSN
일월	일/NR + 월/NNB
시경	시/NNB + 경/XSN
일자	일/NNB + 자/NNG
일자	일자/NNG
일字	일/NNB + 字/SH
마을	마을/NNG
번꼴	번/NNB + 꼴/XSN
일장	일/NNB + 장/NNG
일전	일/NNB + 전/NNG
번뇌	번뇌/NNG
시기	시기/NNG
시께	시/NNB + 께/XSN
일제	일/NNB + 제/XSN
일중	일/NNB + 중/NNB
사간	사/NNG + 간/NNB
